Date,Department,Category,Region,Budget Amount,Actual Amount,Payment Method,Transaction ID,Variance,Variance %
2023-05-11,Sales,Travel,North,126096,43048,Card,TXN100000,-83048,-65.8609313538891
2023-11-11,Marketing,Salaries,East,19702,87896,Bank Transfer,TXN100001,68194,346.12729672114506
2021-05-02,IT,Training,Central,108523,103632,Card,TXN100002,-4891,-4.5068787261686465
2022-04-12,Marketing,Salaries,North,114711,105574,Cash,TXN100003,-9137,-7.965234371594704
2021-11-27,Sales,Utilities,Central,121895,64314,UPI,TXN100004,-57581,-47.23819680872882
2021-03-29,Finance,Marketing,East,37762,77044,Bank Transfer,TXN100005,39282,104.02521052910333
2023-05-22,IT,Marketing,West,144311,69127,UPI,TXN100006,-75184,-52.098592622876986
2021-05-11,HR,Marketing,Central,22567,53015,Cash,TXN100007,30448,134.9226747019985
2023-02-09,IT,Infrastructure,West,95737,58734,UPI,TXN100008,-37003,-38.650678421091115
2021-12-10,IT,Salaries,East,16857,153432,Cash,TXN100009,136575,810.1975440469835
2023-03-17,IT,Utilities,East,75603,73056,Bank Transfer,TXN100010,-2547,-3.3689139319868255
2022-01-21,Finance,Utilities,Central,85399,109122,Cash,TXN100011,23723,27.77901380578227
2023-08-14,Sales,Marketing,Central,68086,70502,Bank Transfer,TXN100012,2416,3.548453426548777
2021-10-04,HR,Training,East,99145,51102,UPI,TXN100013,-48043,-48.457310000504314
2022-04-05,Sales,Infrastructure,Central,42270,148677,Cash,TXN100014,106407,251.7317246273953
2021-01-22,Marketing,Infrastructure,Central,130071,79899,Card,TXN100015,-50172,-38.572779481975225
2021-09-10,Marketing,Marketing,Central,12012,99017,Card,TXN100016,87005,724.3173493173492
2023-01-18,Marketing,Marketing,Central,69049,120109,Card,TXN100017,51060,73.94748656751004
2023-05-07,Sales,Salaries,North,94989,30133,Bank Transfer,TXN100018,-64856,-68.27737948604576
2022-04-20,Operations,Training,East,99586,30720,Cash,TXN100019,-68866,-69.15229048259796
2023-12-19,Finance,Infrastructure,East,49080,167039,Card,TXN100020,117959,240.34026079869602
2022-05-26,Operations,Utilities,South,66879,149486,Bank Transfer,TXN100021,82607,123.51709804273389
2022-12-01,Marketing,Marketing,West,75888,11379,Card,TXN100022,-64509,-85.00553447185327
2023-09-03,Finance,Salaries,South,125951,142223,UPI,TXN100023,16272,12.919309890354185
2021-07-09,Sales,Utilities,Central,47146,62758,UPI,TXN100024,15612,33.114156025961904
2023-08-16,Marketing,Infrastructure,Central,126293,82140,UPI,TXN100025,-44153,-34.96076583816997
2022-11-18,Sales,Marketing,North,103948,76187,Card,TXN100026,-27761,-26.706622542040254
2023-08-16,Finance,Training,North,46166,24308,Bank Transfer,TXN100027,-21858,-47.34653207988563
2022-07-17,Sales,Marketing,North,129239,163833,Card,TXN100028,34594,26.76746183427603
2023-04-12,Sales,Training,North,144078,83304,Bank Transfer,TXN100029,-60774,-42.1813184525049
2022-10-09,HR,Salaries,North,142076,142230,Card,TXN100030,154,0.10839269123567667
2021-01-21,Operations,Salaries,North,147039,162847,Bank Transfer,TXN100031,15808,10.750889219866838
2023-04-21,Operations,Infrastructure,North,28879,154557,Card,TXN100032,125678,435.18819903736284
2021-06-16,Operations,Training,North,12261,123857,Cash,TXN100033,111596,910.1704591795122
2022-01-23,IT,Marketing,North,42323,118946,Cash,TXN100034,76623,181.0434042955367
2022-08-24,HR,Salaries,East,45864,130300,Bank Transfer,TXN100035,84436,184.10081981510552
